survey_year,canonical_variable,canonical_axis,official_source,source_type,provenance,period,geography,definition_evidence,unit_evidence,sample,methodology,limitations,license,raw_variable,code_values,weight_variable,confidence,status
2011,travel_type,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문1 여행 형태,category,UNKNOWN,year-specific official respondent codebook,"direct PDF fetch returns application/octet-stream in this environment; evidence extracted only from same-year official search-indexed codebook text; respondent rows not ingested",UNKNOWN,q1,"1 개별여행;2 단체여행;3 Air-tel Tour;9 모름/무응답",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED
2011,repeat_visit_3y,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문2-2 최근 3년간 한국방문 횟수,visit-count category,UNKNOWN,year-specific official respondent codebook,"same-year 3-year horizon is explicit; do not equate with post-2015 no-time-limit repeat-visit definition; universe/skip beyond exposed codebook text remains UNKNOWN",UNKNOWN,q2b,"1 1회;2 2회;3 3회;4 4회이상;9 모름/무응답",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED_DEFINITION_BREAK_RELEVANT
2011,repeat_visit_3y_raw,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문2-2 최근 3년간 한국방문 횟수 원자료,raw visit count,UNKNOWN,year-specific official respondent codebook,"raw field is identified but numeric range and missing representation are not exposed in retrieved snippet",UNKNOWN,wq2b,"원자료",UNKNOWN,HIGH,RAW_FIELD_VERIFIED_RANGE_PENDING
2011,prior_visit_timing,WHEN,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문2-3 최근 한국 방문 시기 년도/분기,quarter-coded timing,UNKNOWN,year-specific official respondent codebook,"codes 1-16 enumerate 2008Q1 through 2011Q4; exact skip/universe remains UNKNOWN",UNKNOWN,q2c,"1 2008Q1;2 2008Q2;3 2008Q3;4 2008Q4;5 2009Q1;6 2009Q2;7 2009Q3;8 2009Q4;9 2010Q1;10 2010Q2;11 2010Q3;12 2010Q4;13 2011Q1;14 2011Q2;15 2011Q3;16 2011Q4;9999 무응답",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED
2011,stay_length_category,STAY,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문3-2 한국체류기간,day/category,UNKNOWN,year-specific official respondent codebook,"retrieved snippet directly exposes 1-10 days and 11=11~60일; 61+ category/missing code are not fully exposed in this run and must not be inferred from adjacent years",UNKNOWN,q3a2,"1 1일;2 2일;3 3일;4 4일;5 5일;6 6일;7 7일;8 8일;9 9일;10 10일;11 11~60일;higher/missing codes not fully re-extracted",UNKNOWN,MEDIUM_HIGH,FIELD_LEVEL_PARTIAL_CODES_VERIFIED
2011,stay_length_raw,STAY,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문3-2 한국체류기간 원자료,days,UNKNOWN,year-specific official respondent codebook,"raw field exists; exact raw valid range and missing representation are not fully exposed",UNKNOWN,mq3a2,"원자료",UNKNOWN,HIGH,RAW_FIELD_VERIFIED_RANGE_PENDING
2011,stay_length_raw_61plus_sysmiss,STAY,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,"문3-2 한국체류기간 원자료(61일 이상 SYSMISS)",days with analysis missing treatment,UNKNOWN,year-specific official respondent codebook,"field label explicitly states 61일 이상 SYSMISS; exact transformation sequence and relation to published averages require user guide/report verification",UNKNOWN,mmq3a2,"원자료(61일 이상 SYSMISS)",UNKNOWN,HIGH,ANALYSIS_TRANSFORM_FIELD_VERIFIED_FORMULA_PENDING
2011,multi_country_visit_position,WHEN,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문4 한국만 방문/한국방문 직전/한국방문 직후,category,UNKNOWN,year-specific official respondent codebook,"retrieved codebook text exposes categories 1-3 and 9; whether both pre+post can co-occur in another derived field is not inferred",UNKNOWN,q4a,"1 한국만 방문;2 한국방문 직전;3 한국방문 직후;9 무응답",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED
2011,pre_korea_country,COMPETITIVE_DESTINATION,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문4 한국입국전 방문국가1,country code,UNKNOWN,year-specific official respondent codebook,"same-year country coding preserved; constituent countries of code 996 중동 are not defined in this snippet",UNKNOWN,q4b1,"1 일본;2 중국;3 홍콩;4 싱가포르;5 대만;6 호주;7 태국;8 미국;9 캐나다;10 영국;11 독일;12 프랑스;13 러시아;65 인도;995 말레이시아;996 중동;997 기타;999 모름/무응답",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED_GROUP_CONSTITUENTS_PENDING
2011,decision_timing,SEARCH,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14090&cbIdx=1127&streFileNm=d30d1a95-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩 / 한국문화관광연구원,2011,Korea inbound foreign visitors,문5 한국여행 결정 시점,month-category,UNKNOWN,year-specific official respondent codebook,"category field and raw-month field are both present; exact handling of zero/partial months remains UNKNOWN",UNKNOWN,q5,"1 1개월;2 2개월;3 3~4개월;4 5~9개월;5 10개월 이상;99 무응답",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED
