survey_year,evidence_class,raw_variable,canonical_variable,canonical_axis,question_definition,code_values,universe_filter,unit,weight_variable,sample_design,stay_criterion,expenditure_basis,geography,missing_codes,methodology,limitations,license,source_tier,source_artifact,source_url,confidence,comparability_status,regime_break,notes
2014,O,q1a,repeat_visit,WHO,"문1-1 최근 3년간 한국방문 횟수","1=1회;2=2회;3=3회;4=4회이상;9=모름/무응답",UNKNOWN,visit count/category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,9,"same-year official codebook",weight formula/universe not extracted,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,PRE_2015_REPEAT_VISIT_DEFINITION,"Do not pool mechanically with 2015+ lifetime definition"
2014,O,wq1a,repeat_visit_raw,WHO,"문1-1 최근 3년간 한국방문 횟수 원자료",원자료,UNKNOWN,visit count,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,UNKNOWN,"same-year official codebook",raw missing behavior not extracted,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,PRE_2015_REPEAT_VISIT_DEFINITION,"Raw count field distinct from categorized q1a"
2014,O,q1b,prior_visit_timing,WHEN,"문1-2 최근 한국방문시기(년도&분기)","1-16=2011Q1..2014Q4;21=2011;22=2012;23=2013;24=2014;9999=모름/무응답",prior visitors,time category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,9999,"same-year official codebook",filter wording not extracted,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"q1b1/q1b2 also listed as year/month fields"
2014,O,q2a,multi_country_visit,WHEN,"문2 한국만 방문/한국방문 직전·직후 타국가 방문","1=한국만;2=직전;3=직후;4=직전+직후;9=모름/무응답",UNKNOWN,category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,9,"same-year official codebook",exact routing/filter not extracted,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"q2b/q2c and q2b1/q2c1 hold before/after country detail"
2014,O,q3,decision_timing,SEARCH,"문3 한국여행 결정 시점_category","1=1개월;2=2개월;3=3~4개월;4=5~9개월;5=10개월 이상;99=모름/무응답",UNKNOWN,time category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,99,"same-year official codebook",raw unit for mq3 not separately documented in retrieved excerpt,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"mq3 is same-question raw field"
2014,O,q4,alternative_country_consideration,COMPETITIVE_DESTINATION,"문4 여행 전 다른 국가 방문 검토 여부","1=처음부터 한국;2=타국과 비교 후 한국;9=모름/무응답",UNKNOWN,category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,9,"same-year official codebook",filter for q4a1-q4a5 not extracted,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"q4a1-q4a5 capture considered countries"
2014,O,q5,visit_purpose,WHY,"문5 방한 목적","1=여가/위락/개별휴가;2=뷰티/건강/치료;3=종교/순례;4=쇼핑;5=친구/친지 방문;6=사업/전문활동;7=교육;97=기타;99=모름/무응답",UNKNOWN,category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,"97;99","same-year official codebook",single/multiple response behavior not extracted,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"Purpose code frame is year-specific"
2014,O,q5a1-q5a3,travel_motivation,WHY,"문5 여행동기 1~3순위","1=자연풍경;2=쇼핑;3=역사/문화유적;4=음식/미식;5=휴양시설;6=유흥/놀이;7=패션/세련문화;8=기후;9=경제적 비용;10=거리;11=안전/치안;12=숙박/교통;13=K-POP/한류;14=치료;15=이·미용;16=여가시간;97=기타;99=모름/무응답",UNKNOWN,ranked category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,"97;99","same-year official codebook",ranking response handling not extracted,UNKNOWN,Tier-A,"2014년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14093&cbIdx=1603&streFileNm=06f44e0e-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"Do not collapse ranks without explicit method"
2014,O,q10,stay_length,STAY,"문10 한국 체류기간_category","1=1일;2=2일;3=3일;4=4일;5=5일;6=6일;7=7일;8=8일;9=9일;10=10일;11=11~20일;12=21~30일;13=31~60일;14=61~90일;15=91일 이상;999=모름/무응답",eligible survey respondents,day/category,wt,UNKNOWN,"survey eligibility inherited from active 2011+ regime; exact 2014 sample criterion requires guide confirmation",NA,Korea inbound foreign visitors,999,"same-year codebook field extraction",eligibility criterion not stated in retrieved field excerpt,UNKNOWN,Tier-B-verified-copy,"2014년 외래관광객 실태조사 코드북","https://kossda.snu.ac.kr/bitstream/20.500.12236/15834/2/kor_coding_guide_20140121.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"mq10 is raw stay-length field; no adjacent-year inference used for its values"
2014,O,mq10,stay_length_raw,STAY,"문10 한국 체류기간_원자료",원자료,eligible survey respondents,day/raw value presumed but exact raw storage unit requires direct binary check,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,UNKNOWN,"same-year codebook field extraction",raw unit/missing behavior not explicitly stated in retrieved excerpt,UNKNOWN,Tier-B-verified-copy,"2014년 외래관광객 실태조사 코드북","https://kossda.snu.ac.kr/bitstream/20.500.12236/15834/2/kor_coding_guide_20140121.pdf",MEDIUM,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"Keep unit qualifier pending until raw/guide verification"
