survey_year,evidence_type,raw_variable,canonical_variable,question_wording,code_values,universe_filter,unit,weight_variable,sample_design,stay_criterion,geography,sample_size,missing_codes,source_artifact,source_class,source_tier,provenance,period,frequency,methodology,limitations,license,confidence,missingness_status,comparability_status,notes
2014,METHOD,NA,NA,NA,NA,"만 15세 이상의 1일-1년 이내 체류 외국인 여행객",person,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,NA,"KOSSDA A1-2014-0121 dataset metadata",R,B,"Korea Culture & Tourism Institute producer; KOSSDA distributor; DOI 10.22687/KOSSDA-A1-2014-0121-V1.0","2014-01~2014-12",monthly fieldwork/annual dataset,"repeated cross-sectional; self-administered; Millward Brown Media Research fieldwork; weighting=있음","exact weight variable/formula/control cells not stated in metadata; respondent SAV not ingested",UNKNOWN,HIGH,PARTIAL,REGIME_EXPLICIT,"valid cases=12,024; questionnaire/data/codebook/user guide artifacts listed; Member Access"
2014,FIELD,q4,competing_destination_considered,"문4. 여행 전 다른 국가 방문 검토 여부","1=여행 계획시 처음부터 한국을 목적지로 선정했다;2=다른 국가와 비교하여 최종적으로 한국을 목적지로 선정했다;9=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,9,"2014년 외래관광객 실태조사 코드북",O,A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","2014-01~2014-12",annual wave,"official codebook field extraction","q4a* universe/skip mechanics not established by exposed snippet; PDF direct screenshot unavailable in web runtime",UNKNOWN,HIGH,PARTIAL,NOT_HARMONIZED,"same-year raw variable only; no cross-year equivalence asserted"
2014,FIELD,q4a1,competing_destination_1,"문4. 여행전 방문 검토 국가1","1=일본;2=중국;3=홍콩;4=싱가포르;5=대만;6=호주;7=태국;8=미국;9=캐나다;10=영국;11=독일;12=프랑스;13=러시아;65=인도;995=말레이시아;996=중동;997=기타;999=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,999,"2014년 외래관광객 실태조사 코드북",O,A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","2014-01~2014-12",annual wave,"official codebook field extraction","skip/universe condition and response mechanics across q4a1-q4a5 not verified",UNKNOWN,HIGH,PARTIAL,NOT_HARMONIZED,"q4a2-q4a5 existence visible; only q4a1 stored here with exposed code list"
2014,FIELD,q5,visit_purpose,"문5. 방한 목적","1=여가, 위락, 개별휴가;2=뷰티, 건강 및 치료;3=종교 및 순례;4=쇼핑;5=친구, 친지 방문;6=사업 또는 전문 활동;7=교육;97=기타;99=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,99,"2014년 외래관광객 실태조사 코드북",O,A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","2014-01~2014-12",annual wave,"official codebook field extraction","single/multiple response mechanics not established by exposed snippet",UNKNOWN,HIGH,PARTIAL,NOT_HARMONIZED,"same-year wording/codes verified"
2014,FIELD,q5a1,travel_motivation_rank1,"문5-1. 여행동기(1순위)","1=자연풍경;2=쇼핑;3=역사/문화유적;4=음식/미식탐방;5=잘 갖춰진 휴양시설;6=유흥/놀이시설;7=패션, 유행 등 세련된 문화;8=기후/뚜렷한 사계절;9=경제적인 여행비용;10=거리;11=안전/치안;12=숙박시설/편리한 교통;13=K-POP/한류스타 팬미팅 등을 경험하고 싶어서;14=치료(병의원방문);15=이·미용 서비스;16=여행 가능한 여가시간;97=기타;99=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,99,"2014년 외래관광객 실태조사 코드북",O,A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","2014-01~2014-12",annual wave,"official codebook field extraction","q5a2/q5a3 existence verified but rank response mechanics beyond labels not extracted",UNKNOWN,HIGH,PARTIAL,NOT_HARMONIZED,"same-year rank-1 field only"
2014,FIELD,q10,stay_length,"문10. 한국 체류기간_category","1=1일;2=2일;3=3일;4=4일;5=5일;6=6일;7=7일;8=8일;9=9일;10=10일;11=11~20일;12=21~30일;13=31~60일;14=61~90일;15=91일 이상;999=모름/무응답",UNKNOWN,days/categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,999,"2014년 외래관광객 실태조사 코드북",R,B,"KOSSDA official archive of Korea Culture & Tourism Institute same-year codebook","2014-01~2014-12",annual wave,"same-year codebook field extraction","mq10 and mmq10 companions verified; exact raw numeric domain not extracted; official PDF screenshot failed in web runtime",UNKNOWN,HIGH,PARTIAL,NOT_HARMONIZED,"mmq10 described as raw data with 61 days or more SYSMISS; do not infer transformation rule beyond label"
2014,FIELD,q13,overall_satisfaction,"문13. 한국여행에 대한 전반적 만족도","1=매우 불만족;2=불만족;3=보통;4=만족;5=매우 만족;8=해당 없음;9=모름/무응답",UNKNOWN,ordinal,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,9,"2014년 외래관광객 실태조사 코드북",O,A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","2014-01~2014-12",annual wave,"official codebook field extraction","code 8 is labeled 해당 없음 and must not be merged with missing code 9",UNKNOWN,HIGH,PARTIAL,NOT_HARMONIZED,"preserve 8 as substantive not-applicable category distinct from missing code 9"
2014,FIELD,q14,revisit_intent_3y,"문14. 3년 내 재방문 의사","1=전혀 그렇지 않다;2=그렇지 않다;3=보통;4=그렇다;5=매우 그렇다;9=모름/무응답",UNKNOWN,ordinal,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,9,"2014년 외래관광객 실태조사 코드북",O,A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","2014-01~2014-12",annual wave,"official codebook field extraction","intent measure; not observed revisit behavior",UNKNOWN,HIGH,PARTIAL,NOT_HARMONIZED,"explicit 3-year intention horizon"
2014,FIELD,q17,travel_form,"문17. 여행형태","1=개별여행;2=단체여행;3=Air-tel Tour;9=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",12024,9,"2014년 외래관광객 실태조사 코드북",O,A,"KTO Tourism Data Lab official same-year codebook download endpoint; independently visible in KOSSDA archived codebook","2014-01~2014-12",annual wave,"official codebook field extraction","raw variable location differs from earlier waves; no automatic cross-year mapping applied",UNKNOWN,HIGH,PARTIAL,REGIME_RENUMBERING,"2014 raw variable is q17; same wording/codes alone does not authorize silent longitudinal harmonization"
2014,ARTIFACT,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,NA,대한민국,NA,NA,"kor_que_20140121.pdf;kor_coding_guide_20140121.pdf;kor_user_guide_20140121.pdf;data(sav)",R,B,"KOSSDA A1-2014-0121; producer Korea Culture & Tourism Institute; distributor KOSSDA","2014",NA,"artifact registry","KOSSDA availability is Member Access; attachment-level reuse license not stated; raw SAV bytes/checksum/row count not acquired",UNKNOWN,HIGH,ACCESS_CONSTRAINED,NA,"questionnaire 432.8kB; codebook 771.6kB; user guide 452.44kB; V1.0 dated/distributed 2015-12-01"
