period,metric,category,value,unit,source_url,quality_note
2024-Q1,transaction_count,overseas_credit_card_retail_spend,60372,thousand_transactions,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2024/20240621e4a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2024-Q1,transaction_value,overseas_credit_card_retail_spend,58322,million_HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2024/20240621e4a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2025-Q1,transaction_count,overseas_credit_card_retail_spend,85410,thousand_transactions,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250620e6a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2025-Q1,transaction_value,overseas_credit_card_retail_spend,79023,million_HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250620e6a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2025-Q2,transaction_count,overseas_credit_card_retail_spend,97933,thousand_transactions,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250919e4a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2025-Q2,transaction_value,overseas_credit_card_retail_spend,91205,million_HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20250919e4a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2025-Q3,transaction_count,overseas_credit_card_retail_spend,107764,thousand_transactions,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20251219e4a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2025-Q3,transaction_value,overseas_credit_card_retail_spend,103090,million_HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2025/20251219e4a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2025-Q4,transaction_count,overseas_credit_card_retail_spend,112392,thousand_transactions,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260320e4a1.pdf,"Q4 2025 figure later adjusted in Q1 2026 release; retain revision provenance"
2025-Q4,transaction_value,overseas_credit_card_retail_spend,100349,million_HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260320e4a1.pdf,"Q4 2025 figure later adjusted in Q1 2026 release; retain revision provenance"
2026-Q1,transaction_count,overseas_credit_card_retail_spend,106221,thousand_transactions,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260618e6a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
2026-Q1,transaction_value,overseas_credit_card_retail_spend,90313,million_HKD,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260618e6a1.pdf,"Hong Kong-issued credit cards; overseas destination not split"
